proposition,auteur,age
Il faut favoriser la vente directe de produits agricoles aux consommateurs,Christelle,
"Il faut intégrer aux produits le coût de leur empreinte carbone, afin de favoriser les circuits courts et les produits de saison ",Corinne,45
"Il faut favoriser les transports en commun non polluants, notamment pour le fret des marchandises (généraliser le ferroutage) ",Michele ,54
Il faut privilégier une agriculture locale biologique saisonnière et soutenir les agriculteurs et paysans qui la pratiquent.,Dora,45
Il faut relocaliser nos productions (notamment médicales et agroalimentaires) pour enfin appliquer strictement nos normes environnementales.,Hugo,17
"Il faut développer l'économie circulaire pour réduire le gaspillage, valoriser les circuits de recyclage des déchets en créant des synergies",Clémence,
"Il faut relocaliser notre alimentation pour garder du lien avec nos producteurs, nos paysans , nos maraîchers sur qui on peut s’appuyer.",Vero,
"Il faut arrêter le développement de nouvelles ZAC, l'existant suffit ou sinon on utilise les friches industrielles et bâtiments abandonnés",Julie,33
"Il faut imposer des normes très strictes en termes d'emballages, notamment plastiques, et bannir les emballages non indispensables",Aline,
Il faut relocaliser par communauté de communes l'approvisionnement alimentaire biologique et favoriser l'installation de maraîchers  ,Marion,57
"Il faut réduire l'éclairage des magasins la nuit et le nombre d'enseigne lumineuse dans les villes, couper cela de minuit à 6h du matin.",SOPHIE,
Il faut remettre en place la consigne pour le verre et le plastique ,Anne-Céline,
Il faut relocaliser la production des biens communs et vitaux,Olga,35
Il faut privilégier l'agriculture locale et biologique en la rendant accessible à tous et taxer au contraire celle qui est intensive.,Alexandre,
Il faut durcir la législation sur les suremballages et ne pas laisser les entreprises augmenter les déchets au nom du marketing,,
Il faut relocaliser au moins à échelle européenne toute la production des matières premières pharmaceutiques ,Emilie,
Il faut stopper l'artificialisation des sols et lutter contre l'étalement urbain,Cécile,
Il faut revoir en profondeur le mode production alimentaire. Développer les circuits courts pour ne pas craindre les évènements climatiques,Romain,
"Il faut permettre aux agriculteurs de vivre dignement de leur travail, en favorisant le commerce local ",Martine,63
Il faut interdire le plastique à usage unique tout de suite (pas dans 10 ans) lorsque des alternatives existent,Florian,29
"Il faut offrir plus d'alternatives végétales, bio et locales dans les cantines et la restauration  d'entreprise",Magali,
"Il faut respecter la saisonnalité des produits, favoriser les cycles courts et un approvisionnement de proximité.",Laurence ,51
Il faut impérativement intégrer dans l'éducation nationale des cours d'écologie,Charlotte,
"Il faut relocaliser les activités des secteurs stratégiques, pour assurer notre sécurité alimentaire, sanitaire et énergétique",Camille,
Il faut privilégier les circuits courts de consommation,Fatima,61
"Il faut une école de la vie. Revoir complètement les programmes et y mettre de l'écologie, de la nutrition, du jardinage, de la culture ...",Bruno,
Il faut arrêter le suremballage des produits,Johanna,
Il faut continuer à télé travailler 1 à 2 jours par semaine si c'est possible,Silvia,
Il faut arrêter l'élevage de masse des animaux dits de consommation. Les humains doivent arrêter de surconsommer la viande.,Aurelie,39
Il faut faire passer des lois interdisant réellement l'obsolescence programmée.,Emilie,
Il faut positionner les questions écologiques et de conservation de la biodiversité au cœur de toutes décisions gouvernementales. ,Chrystelle,
"Il faut réduire drastiquement la production et consommation de plastiques, trouver des alternatives écologiques ",Naouel ,38
"Il faut nationaliser et relocaliser certaines industries indispensables : pharmaceutiques, assurances, énergie, transport. ",Mahjong,
Il faut interdire l'utilisation de verres et couverts  en plastique à usage unique comme on été interdit les pailles et coton-tiges,Nathalie,51
Il faut arrêter l'obsolescence programmée afin d'avoir du matériel qui dure longtemps et développer des organismes de réparation de matériel,Jessica,27
Il faut inciter fortement le télétravail dans les métiers compatibles avec cette pratique pour diminuer engorgement et pollution en ville,Jeremy,
Il faut renoncer au plastique là où il peut être remplacé ,Claire,
Il faut interdire les chalutiers géants et filets de pêches surdimensionnés dans les eaux internationales,Colin,33
Il faut réformer des cercles vertueux qui auront pour base les commerces de proximité et la production locale et relocalisée. ,Laurent,
"Il faut attribuer les marchés publics en retenant l'offre économiquement ""la plus responsable"" (et non ""économiquement la plus avantageuse"")",Fabien,
"Il faut être exigeant en matière de normes tolérables pour les matières toxiques (construction, ameublement, peinture, emballage) des lobbie",Valérie,
Il faut gérer et recycler nos déchets en France au lieu de les exporter à l'étranger (générateur d'emplois en France),Magali,
Il faut favoriser l'utilisation de matériaux biosourcés dans toutes les nouvelles constructions et travaux de rénovation de l'habitat ancien,Sylvie ,55
"Il faut manger local, puis de saison, puis bio. ",Recontact,
Il faut favoriser les circuits courts pour les produits agricoles de consommation courante,Martina,
"Il faut imposer un cahier des charges plus strict aux entreprises (production, récupération, réparation, recyclage), bref cercle vertueux.",Emilie,43
Il faut des cantines scolaires s'approvisionnant en produits frais locaux et bios,Guillaume,59
Il faut privilégier les marques qui proposent des solutions pratiques de recyclage et de réparation de leurs produits. ,Nathalie,
Il faut sortir du modèle agricole actuel hyper productif et polluant (agro industrie  FNSEA) pour développer l'agro écologie de proximité,Gilles,63
Il faut promouvoir la permaculture changer de système de production alimentaire. Produire mieux avec moins de surfaces cultivées.,Romain,
"Il faut réduire les emballages alimentaires, en particulier le plastique, dans les supermarchés en favorisant le vrac",Juliette,
"Il faut aider l'agriculture à muter bio : agro-écologie, permaculture, agro-foresterie. Les solutions existent ! Sol vivant, zéro chimie !",François,
"Il faut inciter les gens à consommer local (taxes si approvisionnement hors UE, moins d'impôt pour un magasin qui se fournit local)",Charlene,30
"Il faut généraliser le vrac, les circuits courts et les consignes",Severine ,
Il faut promouvoir la production agro-écologique locale et les filières courtes d 'approvisionnement alimentaire,Louis,61
Il faut créer des programmes ambitieux de sensibilisation voire d'apprentissage à la préservation de notre planète dès l'école primaire,Philippe,45
Il faut retrouver de l'autonomie individuelle mais aussi locale et nationale sur les besoins de première nécessité,Ludovic,38
Il faut sanctuariser dans les plans d'urbanisme les meilleures terres agricoles pour favoriser les circuits courts,Claude ,
Il faut développer davantage les épiceries sans emballages,Sarah ,30
"Il faut protéger nos côtes des pêches industrielles, interdire la destruction de la biodiversité.",Romain,28
Il faut diminuer les importations des produits alimentaires y compris bio afin de favoriser le développement de l'agriculture locale,karine,
Il faut imposer aux grandes et moyennes surfaces un pourcentage de production locale dans leur offre de produits non transformés et frais.,Jean-Baptiste,28
Il faut favoriser la création de coopératives de producteurs locaux pour développer les circuits courts et l’accessibilité aux produits. ,Soline,
Il faut donner de la valeur au travail de la terre et favoriser l'approvisionnement de proximité,Régine,60
"Il faut en premier lieu restructurer la santé et réindustrialiser en conséquence notre pays, circuits courts alimentaires,industries locales",danielle,70
"Il faut stopper l'utilisation des pesticides au plus vite, afin de favoriser la biodiversité ",Dominique ,
Il faut accentuer les centres villes piétons afin de diminuer la pollution (sonore et gaz) et continuer le retour de la nature en ces lieux,Benjamin,
"Il faut changer le modèle agricole en soutenant les exploitations délivrant un ""gain net de biodiversité"" et un bilan carbone négatif",Vincent,45
"Il faut végétaliser les villes afin de réduire pollution, canicule... Toits des immeubles, parking, trottoir gazonné, oasis de fraîcheur... ",Rose ,
Il faut revaloriser l'agriculture durable et les professions agricoles,Laetitia,
Il faut valoriser la permaculture et l'agriculture paysanne,Thierry,44
Il faut définitivement couper l’éclairage des enseignes la nuit. ,Laetitia,
"Il faut relocaliser la production de produits comme les vêtements,  les chaussures, ... produire de la qualité made in France. ",Chantal ,
Il faut relocaliser et conforter la production en France de marchandises de première nécessité et essentielles à la vie du pays.,Lina,28
Il faut mettre en place des apprentissages sur les nouvelles pratiques agricoles (type permaculture etc...) dans les formations pro ,yanis,17
"Il faut développer massivement le recyclage et la réutilisation de biens (seconde main, réparation) et endiguer l'obsolescence programmée",Jean-sébastien,40
Il faut faire le choix d'une agriculture raisonnée a échelle humaine et en finir avec les déserts de champs,Charly,
"Il faut renforcer maintenant la résilience alimentaire en relocalisant, formant et consommant de façon responsable ",Sylvain,
Il faut bannir l'élevage massif d'animaux. La qualité du produit et la dignité de la vie animale doivent primer devant les bas prix.,Iulia,36
"Il faut que les finances publiques soient investies dans les secteurs durables, et non plus dans des secteurs polluants",Cam,
Il faut promouvoir le bio et les produits locaux ,R,
Il faut faciliter la réutilisation de produits: un service public du recyclage pour lutter contre l'obsolescence programmée et le gaspillage,Lina,28
Il faut faire revenir la production en France des secteurs essentiels à notre vie. ,Stephane,
Il faut restreindre les exploitations animales intensives et revenir à des abattoirs de proximité ,Mahjong,
Il faut renforcer l'usage du ferroviaire pour le transport de marchandises et de voyageurs par la réouverture des lignes fermées localement.,Roms,37
"Il faut valoriser l'agriculture de proximité, bio ou raisonnée, encourager les grandes surfaces à se fournir au maximum en France. ",Loliee,
"Il faut faire évoluer la structure du PIB avec des critères d'évaluation sur le plan environnemental, social... ",ariane,
"Il faut lancer un plan pour une pêche durable, arrêter l'utilisation massive des chaluts et accepter d'avoir des étals moins fournis. ",Jean-Baptiste,28
Il faut encourager et développer les filières de vente directe du producteur au consommateur (abattement de charges les 2 premières années),Audrey,
Il faut développer le transport de marchandises par voie ferroviaire ,Rachel,
Il faut aider les associations zéro déchets à se développer et mettre en place leurs propositions pour aider à dépolluer les océans.,Élodie,
Il faut soutenir massivement les petits agriculteurs(salaire retraite) pr encourager les nouvelles générations à reprendre les exploitations,Sébastien,46
Il faut privilégier les circuits courts,Jean-yves,
Il faut aider les entreprises à relocaliser pour limiter les déplacements de produits et dépendance à la mondialisation,BEG,
Il faut remettre la consignation des bouteilles en verre - fini le plastique ! ,Caroline,32
Il faut enseigner aux enfants la culture d'un potager écologique.,Joëlle,
Il faut réduire nos déchets: taxer fortement ou faire payer une amende aux entreprises qui font du suremballage.,Chloé,
Il faut favoriser les circuits courts... TVA à taux réduits pour manger mieux. ,Yoan,27
Il faut expliquer que le verre n'est pas recyclable à l'infini et remettre en place les systèmes de consignes pour les bouteilles,Yolande,
"Il faut commercialiser des choses réparables, rechargeables, de qualité et fabriquées localement ",Rachel,
"Il faut aider les agriculteurs à se lancer dans la production bio, la permaculture ",Emilie,
Il faut retrouver une indépendance alimentaire en développant l'agriculture bio aussi bien en ville qu'à la campagne,isa,
Il faut privilégier les « circuits courts » qui ont trouvé une superbe raison d’être lors de ce confinement.,Hernan,
"Il faut changer les indicateurs économiques pour qu'ils prennent mieux en compte la réalité économique, sociale et écologique",Gontier,37
Il faut aider les agriculteurs à mieux valoriser leur production en développant les circuits de proximité,Clara,
Il faut proposer plus de produits locaux dans les cantines scolaires et les cantines d'entreprises,Juliette,
"Il faut que la taxe sur les produits pétroliers soit étendue à tous les plastiques, que l'on sorte de cet engrenage du tout jetable polluant",David ,43
"Il faut inventer une sorte de jachère marine afin de laisser aux animaux marins le temps de reconstituer leurs ""stocks"".",Céline,43
"Il faut interdire les emballages plastique, entre autres pour les fruits et légumes.",Estelle,41
"Il faut revaloriser le métier de l'agriculture, et développer la production de produit Bio et locale afin de relancer la biodiversité",christophe,40
Il faut pénaliser l'obsolescence programmée et définir des normes de durabilité des produits industriels.,Xavier,
"Il faut que les aides publiques aux entreprises (CICE, etc.) soient conditionnées au respect d'engagements sociaux et environnementaux ",Camille,
Il faut abandonner l'obsolescence programmée des produits technologiques pour en allonger l'usage.,Sasha,50
Il faut garantir la souveraineté alimentaire et une agriculture respectueuse de l'environnement.,Nathalie,
"Il faut relocaliser les productions essentielles à notre quotidien et garder une indépendance face à ces besoins : santé, énergie, emploi ",Rogerio,
Il faut mettre au coeur de l’économie et de la vie du pays les circuits courts et la protection globale de l’environnement ,Jean,35
Il faut développer l'économie circulaire et imposer les circuits courts,Christophe ,50
Il faut réduire les déplacements professionnels journaliers en avion et en train privilégier la vidéo conférence,Laurence,
"Il faut relocaliser les industries qui assurent notre autonomie sanitaire et alimentaire, à l'échelle européenne.",Valérie,
Il faut permettre aux paysans de vivre de leur production,Daniel,62
"Il faut développer le transport des marchandises longues distances par le rail et non la route (dangereux, polluant, coûteux ).",Philippe,64
"Il faut réduire les emballages, accompagner les commerçants vers la vente en vrac et surtout éduquer les citoyens à ce mode d'achat ",Aurélie ,40
Il faut encourager l'économie locale,Delphine,45
"Il faut diminuer la consommation d'énergie inutile (ex: panneaux pub, vitrines allumées, climatisations trop puissantes...) ",Florian,29
"Il faut intégrer la question de l’environnement dans sa biodiversité et du droit dans le programme d’éducation nationale, de plus jeune âge.",Grazy,
"Il faut orienter l'aménagement de la mobilité vers les déplacements actifs ( marche, vélo...)  et revaloriser les transports ferroviaires ",francis,
"Il faut réinvestir nos priorités long terme: relocaliser l'industrie des savoir-faire, repenser notre autonomie alimentaire, ...",Antoine,59
Il faut des épiceries circuits courts vendant des produits locaux dans chaque commune avec possibilité de commande en ligne.,Yoann,27
Il faut que la réparation d’appareils électroménagers soit toujours plus économe et plus facile que de racheter un neuf,Antoine,36
"Il faut encourager l'agriculture biologique via davantage d'aides aux agriculteurs (formations à la transition au bio, vente directe...) ",Edith,
"Il faut réduire les taxes sur les produits bios, éthiques, circuit court, durables etc... pour en faciliter l’accès au plus grand nombre",Helva,
"Il faut surtout relocaliser en France toutes ces productions qui nous fons défauts lors d'épidémies, médicaments, masques, etc ... ",Olivier,
Il faut imposer des emballages alimentaires mono matière pour être soit recyclés à 100% soit réutilisés par les industriels ,Jean-philippe,51
"Il faut un système économique plus équitable, avec des investissements soumis à des exigences de protection de la vie et de l’environnement",Samia,
Il faut progressivement introduire le coût à l'environnement dans le prix de vente d'un bien de consommation,Loïc,52
Il faut bannir l’élevage intensif,Lionel,47
Il faut taxer l'avion en fonction de son impact pour l'environnement.,Recontact,
"Il faut reboiser, oui, mais surtout pas en monoculture, il faut assurer une biodiversité.",Claudie,
Il faut encourager les investissements dans l'économie réelle notamment dans le secteur du développement durable,Jérôme,30
"Il faut revaloriser les activités essentielles (caissiers, éboueurs, recherche, aides-soignantes, éducateurs, ...)",Charlotte,
Il faut acheter dans les circuits courts,Azelma,
"Il faut relocaliser l'alimentation, favoriser les petits producteurs, informer et sensibiliser le consommateur sur une alimentation juste",Marie-Albine,47
"Il faut surtout remettre les entreprises françaises au cœur du dispositif : produire français, consommer Français, être moins dépendant",JEAN-MICHEL,
Il faut éduquer et élever nos enfants à refuser la surconsommation et à préserver l'environnement,Marie,
Il faut aider les communes à mettre en place des cantines scolaires qui veulent élaborer les repas sur place avec des produits bio locaux.,Isabelle,
Il faut développer lors des constructions un grand réservoir récupérateur d'eau qui permet de l'utiliser : chasse d'eau/nettoyage/lessives..,jerome,
Il faut développer les transports publics et les pistes cyclables.,Anne,
"Il faut un moratoire sur les plastiques. Interdit pour tous les usages courants, réservés à des usages dans des domaines critiques.",Caroline,
"Il faut en revenir aux consignes sur le verre et pourquoi pas le plastique, voire d'autres produits",Stéphanie,
Il faut arrêter d'éclairer les zones commerciales la nuit et d'abrutir la population avec de la publicité à chaque coin de rue,Fred,46
Il faut interdire la production de plastique non recyclable ,Émilie ,40
Il faut étendre la garantie sur les biens durables de consommation à dix ans et exiger l’affichage de la durée de vie des appareils.,Jean-Pierre,
Il faut refonder la politique agricole commune sur la base d’un scénario de développement de l’agro-écologie,Jean-Baptiste,
Il faut réglementer la grande distribution pour un franc soutien aux circuits courts,Denis,
Il faut éliminer l'élevage intensif et inciter les gens à consommer moins de viande.,Laurence,
Il faut garantir par la réglementation la durabilité et la possibilité de réparer les objets manufacturés pour limiter le gaspillage inutile,Sasha,50
Il faut déterminer les biens essentiels qui doivent être produits dans notre pays et en Europe puis les fabriquer,christian,
Il faut mettre fin à l'obsolescence programmée de tout.,Emilie,43
"Il faut revaloriser les salaires des métiers qui sont indispensables : soignants, ambulanciers, caissiers, livreurs, éboueurs...",charlotte,47
"Il faut arrêter l'éclairage des commerces, bureaux non occupés après la tombée de la nuit",Pierre,
Il faut développer une vraie industrie de la réparation et faire du neuf le dernier recours.,José,63
Il faut légiférer davantage contre les objets/emballages à usage unique et les produits non réparables,Claire ,
"Il faut relocaliser l'agriculture, la santé, l'industrie et les produits de première nécessité",Sophie,
"Il faut redévelopper l'autonomie alimentaire de l'Europe, favoriser les circuits courts, l'agroécologie et valoriser les producteurs",Gilles,63
Il faut éteindre toutes les lumières des entreprises et des vitrines de magasin dès 21h,lory,
Il faut orienter les financements de la PAC vers l'agriculture biologique,Antoine,
Il faut relocaliser la production de produits essentiels. ,Hana,21
"Il faut soutenir la transition agricole pour sortir de l'intensif, aller vers le bio, de saison, local et surtaxer les autres produits ",Col,
Il faut interdire aux entreprises de reverser des dividendes aux actionnaires si elles ont été bénéficiaires d’aides de l’Etat.,Lea,31
"Il faut trouver les moyens de financer la revalorisation des métiers de la santé, de l'enseignement, de la protection des personnes",Patrice,
"Il faut remettre les services publics (de santé, d'éducation, de justice) au premier plan dans la société.",Sylvia,
Il faut une vraie politique agricole européenne pour financer les agriculteurs désireux de produire en bio ,Catherine,58
"Il faut développer, imposer, le transport ferroviaire pour les marchandises, la grande vitesse  et améliorer le maillage national",EVE,
"Il faut s'assurer que des entreprises protégeant les intérêts de la nation soient localisées en France ou Europe (fabrication de médoc, etc)",Lucie,27
Il faut privilégier les produits locaux,Christine,
"Il faut pénaliser l’obsolescence programmée, les pièces détachées à prix élevés et l’obstruction aux réparations.",Sébastien,
"Il faut soutenir les pratiques agricoles respectueuses de l'environnement (permaculture, agro-écologie...) et circuits courts",Maeva,
Il faut conserver dans les entreprises la possibilité de faire du télétravail sur une partie du temps,Caroline,40
Il faut former davantage les jeunes au zéro déchet,Rodriguez,
"Il faut limiter la consommation des produits d'importations lointaines, en appliquant sur leur prix leur coût écologique réel.",Philippe,
"Il faut révolutionner le modèle agricole en règlementant beaucoup plus l'usage des pesticides, et en mettant fin à l'élevage industriel. ",Katell,
"Il faut relocaliser la production des produits vitaux : alimentation, produits pharmaceutiques, textiles",Julia,
Il faut éduquer la population pour la préparer à la transition écologique et supprimer les programmes nous poussant à consommer plus,Michel,58
Il faut revaloriser les métiers de premières nécessités et enfin augmenter leurs salaires significativement ! Les rendre hyper attractifs .,Romain,28
"Il faut que l'éducation, la santé, l'environnement redeviennent une priorité pour notre société et aussi européenne.  ",Aude,39
Il faut interdire les sur-emballages,Fabien,43
Il faut redévelopper les maraîchages urbains et péri-urbains plutôt que des projets immobiliers.,Cassandra,
"Il faut proposer des reconversions professionnelles vers des métiers qui servent à la collectivité : agriculture, permaculture, énergies",Florence,41
Il faut relocaliser au moins en Europe tout ce qui concerne la santé ,Chantal,69
Il faut interdire tous les produits suremballés (fruits et légumes avec emballages abusifs) ,Hugues,
"Il faut apprendre au grand public comment réparer, réutiliser ou upcycler, au lieu de jeter des produits qui sont encore exploitables",Catherine,
"Il faut revaloriser en moyen et en salaires les métiers utiles, hôpital, école, et cesser la course au court terme et au privé. ",Nicolas,
Il faut continuer à se tourner vers le circuit court et la consommation locale après le confinement.,Lucie,
"Il faut privilégier le circuit court pour l'alimentation périssable : fruits, légumes et viande",nicolas,
"Il faut rendre plus attractifs les métiers de la santé, les revaloriser à hauteur de la pénibilité et de l’engagement de ces personnels ",Jean,
"Il faut enseigner (connaissances, esprit critique et savoir-faire) les besoins de base : l'agriculture, l'alimentation, l'énergie...",Astrid ,
"Il faut de la transparence sur l'origine des produits que nous consommons (alimentaires, médicamenteux...)",MARIELLE-LARCHER,35
"Il faut développer l'agriculture paysanne de proximité même en Île-de-France, recréer du lien avec les paysans et les citoyens",Brigitte ,53
Il faut renforcer la présence du vivant dans nos villes et valoriser les matériaux de construction durable dans l'architecture.,Louis,
Il faut faire travailler les acteurs ensemble pour les aider à mettre en œuvre une agriculture agroécologique régénératrice des écosystèmes ,Florence,49
Il faut favoriser l'emploi de semences anciennes et variées pour la biodiversité et l'autonomie des agriculteurs (vs semences stériles OGM),Aline,
Il faut obliger les entreprises à pratiquer l'eco-conception de leurs produits,Ma,
"Il faut imposer des standards multi-marques (ex. des chargeurs de téléphones, ordinateurs,..) pour réduire nos déchets",Christophe,
"Il faut faciliter la consommation écoresponsable:  réduire le nombre de labels, les rendre plus lisibles/compréhensibles et éduquer.",Marianne,
Il faut développer des coopératives bio qui fonctionnent essentiellement avec un système de consigne et qui bannit le plastique.,Magali,
Il faut revaloriser les métiers agricoles et les aider à produire autrement.,François,
Il faut favoriser le commerce de proximité en aidant les producteurs locaux et en taxant les productions importées ,Agnès ,60
Il faut valoriser l’artisanat local de création de biens pour éviter d’acheter à des producteurs lointains ,Corinne,
Il faut mettre en place dans toutes les communes le compostage.,Marielle,32
"Il faut mettre en place une fiscalité favorisant l'écologie et développer l'enseignement de l'écologie dans les collèges, lycées, université",Christian,
Il faut interdire l'exportation des déchets plastiques vers les pays du Sud,Guillaume,59
Il faut replanter des arbres feuillus et arrêter de reboiser nos forêts avec des pins à la place des arbres primaires ,Laurent,50
Il faut développer une agriculture vivrière biologique pour nourrir les populations locales et créer des emplois en campagne,Aliénor,
Il faut revenir en France à une agriculture qualitative. Ce sera notre différence. Non à l'intensif. Nous sommes ce que nous mangeons.,Gwen,45
"Il faut transformer nos chaines d'approvisionnement alimentaire en des circuits courts, les plus nationaux possibles. ",Sylvain,
Il faut relocaliser des entreprises pour créer des emplois et dynamiser l'économie locale,Stéphanie,37
Il faut vendre les médicaments prescrits par les médecin à l'unité. Comment accepter de jeter des médicaments.,Isabelle,
"Il faut mettre l'accent sur l'éducation (biodiversité, consommation durable) 
et sur certaines valeurs : altruisme, générosité, sobriété.",Yann,31
Il faut recycler les déchets dans le pays de leur production et ne plus les envoyer dans les pays du tiers monde.,Sasha,50
"Il faut arrêter d'importer hors saison des fruits et légumes venant du bout du monde  (fraises à Noël, etc) Achetez des produits de saison !",Durdo,
"Il faut interdire définitivement les filets dérivants qui sont mortels pour les dauphins,  baleines, etc.. et qui tuent sans distinction. ",Nadia,
Il faut développer la formation dans le secteur de la rénovation énergétique et aider à la reconversion vers ces métiers.,Yoann,27
