id;taxonomies/ids;taxonomies/32/ca;taxonomies/32/en;taxonomies/32/es;parent/id;title/ca;title/en;title/machine_translations/es;description/ca;description/en;description/machine_translations/es;start_date;end_date;status/id;status/key;status/name/en;status/name/ca;status/name/es;progress;created_at;updated_at;url;component/id;proposal_urls;reference;children_count;comments_count;address;latitude;longitude;status/name/machine_translations/es;taxonomies/36/ca;taxonomies/36/en;taxonomies/36/es;taxonomies/34/ca;taxonomies/34/en;taxonomies/34/es;taxonomies/38/ca;taxonomies/38/en;taxonomies/38/es;taxonomies/42/ca;taxonomies/42/en;taxonomies/42/es;taxonomies/35/ca;taxonomies/35/en;taxonomies/35/es;taxonomies/33/ca;taxonomies/33/en;taxonomies/33/es;taxonomies/44/ca;taxonomies/44/en;taxonomies/44/es;taxonomies/46/ca;taxonomies/46/en;taxonomies/46/es;taxonomies/45/ca;taxonomies/45/en;taxonomies/45/es;taxonomies/43/ca;taxonomies/43/en;taxonomies/43/es;taxonomies/40/ca;taxonomies/40/en;taxonomies/40/es;taxonomies/48/ca;taxonomies/48/en;taxonomies/48/es;taxonomies/47/ca;taxonomies/47/en;taxonomies/47/es;taxonomies/41/ca;taxonomies/41/en;taxonomies/41/es;taxonomies/39/ca;taxonomies/39/en;taxonomies/39/es;taxonomies/37/ca;taxonomies/37/en;taxonomies/37/es;taxonomies/49/ca;taxonomies/49/en;taxonomies/49/es
11;"";;;;9;Qui voluptas.;Accusamus sed.;Recusandae molestias.;<p>A id corrupti. Libero quas tempora. Quia et nobis.</p>;<p>Aliquid dolor quam. Inventore iure cum. Quos quibusdam alias.</p>;<p>Rerum nostrum similique. Minima voluptatem nisi. Quia maiores aut.</p>;2025-01-29;2025-02-08;4;status_3;laborum;necessitatibus;;94.0;2025-01-29 11:08:19 UTC;2025-01-29 11:08:20 UTC;https://nightly.decidim.org/processes/premium-horizon/f/1/results/11;1;"";NIGHT-RESU-2025-01-11;0;5;;;;dolorem;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;"";;;;9;Voluptas vel.;Ullam veritatis.;Consectetur asperiores.;<p>Asperiores optio cupiditate. Consequatur voluptate quaerat. Doloribus deleniti commodi.</p>;<p>Omnis voluptas voluptatem. Molestias architecto nam. Placeat magnam enim.</p>;<p>Tenetur doloremque quisquam. Tenetur itaque quo. Nostrum ut et.</p>;2025-01-29;2025-02-08;2;status_1;labore;corrupti;;35.0;2025-01-29 11:08:20 UTC;2025-01-29 11:08:22 UTC;https://nightly.decidim.org/processes/premium-horizon/f/1/results/12;1;"";NIGHT-RESU-2025-01-12;0;10;;;;cupiditate;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;38;;;;;Ducimus est.;Deserunt porro.;Voluptatum ut.;<p>Fuga quod ea. Autem ab eum. Voluptatem ratione porro.</p>;<p>Ipsum fugiat quae. Nesciunt voluptatum beatae. Necessitatibus nam cupiditate.</p>;<p>Et voluptatem qui. Qui aut corporis. Et et cum.</p>;;;;;"";"";"";72.0;2025-01-29 11:08:22 UTC;2025-01-29 11:08:23 UTC;https://nightly.decidim.org/processes/premium-horizon/f/1/results/13;1;"";NIGHT-RESU-2025-01-13;3;6;637 Johnson Islands 66746-7822 Mrazport;34.418125689577266;37.09423981918201;;;;;;;;Non saepe molestiae est earum.;Non saepe molestiae est earum.;Non saepe molestiae est earum.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;"";;;;13;Non dolorem.;Quaerat et.;Omnis praesentium.;<p>Laboriosam cum est. Modi ut ut. Quo voluptate nam.</p>;<p>Iste velit eligendi. Vel et voluptates. Rerum necessitatibus vero.</p>;<p>Hic assumenda voluptatibus. Numquam aut earum. Impedit repudiandae praesentium.</p>;2025-01-29;2025-02-08;4;status_3;laborum;necessitatibus;;72.0;2025-01-29 11:08:23 UTC;2025-01-29 11:08:23 UTC;https://nightly.decidim.org/processes/premium-horizon/f/1/results/14;1;"";NIGHT-RESU-2025-01-14;0;5;;;;dolorem;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;"";;;;13;Maiores perspiciatis.;Quia aut.;Explicabo inventore.;<p>Praesentium velit rerum. Et tempora voluptas. Voluptates sed vel.</p>;<p>Nobis quidem vel. Molestiae dolor dolor. Doloremque quis odio.</p>;<p>Et qui blanditiis. Temporibus totam saepe. Libero labore qui.</p>;2025-01-29;2025-02-08;1;status_0;est;est;;5.0;2025-01-29 11:08:23 UTC;2025-01-29 11:08:25 UTC;https://nightly.decidim.org/processes/premium-horizon/f/1/results/15;1;"";NIGHT-RESU-2025-01-15;0;5;;;;explicabo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;"";;;;13;Itaque odit.;Quae repellendus.;Qui minus.;<p>Aut aspernatur reprehenderit. Et eaque omnis. Dolorem nesciunt voluptates.</p>;<p>Omnis adipisci culpa. Occaecati labore id. Sed laboriosam tempore.</p>;<p>Nemo repellat nihil. Rem dolorem consectetur. Distinctio doloribus quo.</p>;2025-01-29;2025-02-08;3;status_2;deserunt;sit;;21.0;2025-01-29 11:08:25 UTC;2025-01-29 11:08:25 UTC;https://nightly.decidim.org/processes/premium-horizon/f/1/results/16;1;"";NIGHT-RESU-2025-01-16;0;2;;;;inventore;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;42;;;;;Sit repellendus.;Qui beatae.;Est molestias.;<p>Doloremque sed blanditiis. Porro facilis cupiditate. Facere et quibusdam.</p>;<p>Incidunt qui ducimus. Sint quia repellendus. Et suscipit minima.</p>;<p>Debitis et qui. Pariatur iusto beatae. Nostrum tempore perferendis.</p>;;;;;"";"";"";70.0;2025-01-29 11:08:25 UTC;2025-01-29 11:08:26 UTC;https://nightly.decidim.org/processes/premium-horizon/f/1/results/17;1;"";NIGHT-RESU-2025-01-17;3;7;625 Scott Isle 34527-3799 Flatleymouth;-39.987870622818214;97.74434231945554;;;;;;;;;;;Dolore maxime doloribus ut aut.;Dolore maxime doloribus ut aut.;Dolore maxime doloribus ut aut.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;"";;;;17;Nobis aspernatur.;A temporibus.;Quasi voluptas.;<p>Consequatur quisquam modi. Dolorum facilis dignissimos. Unde recusandae ut.</p>;<p>Error ipsum ipsam. Aut officia labore. Facere magnam maxime.</p>;<p>Pariatur rerum voluptates. Enim sit repudiandae. Sapiente ut dolorum.</p>;2025-01-29;2025-02-08;1;status_0;est;est;;70.0;2025-01-29 11:08:26 UTC;2025-01-29 11:08:26 UTC;https://nightly.decidim.org/processes/premium-horizon/f/1/results/18;1;"";NIGHT-RESU-2025-01-18;0;0;;;;explicabo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;"";;;;17;Id quod.;Voluptatum eos.;Maiores architecto.;<p>Aut dolores qui. Quas quo ratione. Et qui reprehenderit.</p>;<p>Voluptas corporis quod. Aut consequatur possimus. Placeat magni deserunt.</p>;<p>Molestias repudiandae cum. Voluptatem voluptatem enim. Quas ut numquam.</p>;2025-01-29;2025-02-08;3;status_2;deserunt;sit;;29.0;2025-01-29 11:08:26 UTC;2025-01-29 11:08:26 UTC;https://nightly.decidim.org/processes/premium-horizon/f/1/results/19;1;"";NIGHT-RESU-2025-01-19;0;2;;;;inventore;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;"";;;;17;Quasi possimus.;Repellat reiciendis.;Aliquid voluptatibus.;<p>Unde dolorum non. Quo veritatis in. Qui corrupti quia.</p>;<p>Et nostrum ut. Inventore perferendis est. Tempore aperiam odio.</p>;<p>Ad asperiores sit. Beatae voluptatem deserunt. Dignissimos consequatur autem.</p>;2025-01-29;2025-02-08;1;status_0;est;est;;67.0;2025-01-29 11:08:26 UTC;2025-01-29 11:08:27 UTC;https://nightly.decidim.org/processes/premium-horizon/f/1/results/20;1;"";NIGHT-RESU-2025-01-20;0;7;;;;explicabo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21;42;;;;;Corporis dolorem.;Aperiam nihil.;Porro quod.;<p>Qui ut qui. Explicabo sint impedit. Quibusdam sit et.</p>;<p>Porro quibusdam excepturi. Beatae accusamus fuga. Nam quis quaerat.</p>;<p>Magnam maxime id. Labore in magnam. Sed necessitatibus dicta.</p>;;;;;"";"";"";24.0;2025-01-29 11:08:27 UTC;2025-01-29 11:08:28 UTC;https://nightly.decidim.org/processes/premium-horizon/f/1/results/21;1;"";NIGHT-RESU-2025-01-21;3;8;428 DuBuque Terrace 16905 Port Jackson;-77.30358523326782;147.3946213269155;;;;;;;;;;;Dolore maxime doloribus ut aut.;Dolore maxime doloribus ut aut.;Dolore maxime doloribus ut aut.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;"";;;;21;Doloribus illo.;Voluptatum illo.;Eaque error.;<p>Culpa repellendus voluptas. Saepe praesentium alias. Quae esse perferendis.</p>;<p>Voluptatem iusto atque. Tenetur dolores soluta. Eaque quos officia.</p>;<p>Soluta error reprehenderit. Nihil laboriosam et. Atque provident voluptas.</p>;2025-01-29;2025-02-08;5;status_4;quibusdam;et;;24.0;2025-01-29 11:08:28 UTC;2025-01-29 11:08:28 UTC;https://nightly.decidim.org/processes/premium-horizon/f/1/results/22;1;"";NIGHT-RESU-2025-01-22;0;1;;;;quas;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23;"";;;;21;Quisquam recusandae.;Et tempora.;Quas ut.;<p>Cumque facilis molestiae. Et suscipit eos. Porro blanditiis asperiores.</p>;<p>Rerum quia quaerat. Quibusdam recusandae magni. At consequatur architecto.</p>;<p>Qui odio aliquid. Quis quas sed. Est non iste.</p>;2025-01-29;2025-02-08;5;status_4;quibusdam;et;;12.0;2025-01-29 11:08:28 UTC;2025-01-29 11:08:28 UTC;https://nightly.decidim.org/processes/premium-horizon/f/1/results/23;1;"";NIGHT-RESU-2025-01-23;0;3;;;;quas;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;"";;;;21;Ea adipisci.;Maiores libero.;Omnis voluptatem.;<p>Occaecati adipisci officiis. Non asperiores quas. Saepe sapiente quidem.</p>;<p>Id animi non. Impedit ut vel. Enim et accusamus.</p>;<p>Dignissimos cum consectetur. Sed ipsum in. Minus accusamus impedit.</p>;2025-01-29;2025-02-08;5;status_4;quibusdam;et;;7.0;2025-01-29 11:08:28 UTC;2025-01-29 11:08:29 UTC;https://nightly.decidim.org/processes/premium-horizon/f/1/results/24;1;"";NIGHT-RESU-2025-01-24;0;2;;;;quas;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25;32;Esse eos rerum eos dolor.;Esse eos rerum eos dolor.;Esse eos rerum eos dolor.;;Est tenetur.;Excepturi iure.;Cupiditate nobis.;<p>Hic eius at. Quisquam est iusto. Reprehenderit vero quod.</p>;<p>Vitae repudiandae earum. Nesciunt enim dolorum. Molestias tenetur molestiae.</p>;<p>Minus ducimus accusamus. Autem praesentium rem. Qui ut ut.</p>;;;;;"";"";"";57.0;2025-01-29 11:08:29 UTC;2025-01-29 11:08:30 UTC;https://nightly.decidim.org/processes/premium-horizon/f/1/results/25;1;"";NIGHT-RESU-2025-01-25;3;5;11227 Amado Forks 80132-0461 Lake Sabraburgh;-66.73971598150511;-159.21321139186705;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26;"";;;;25;Veniam tenetur.;Ullam tenetur.;Voluptatem veniam.;<p>Natus et sequi. Culpa dolor natus. Minima quas laborum.</p>;<p>Neque assumenda facilis. Beatae maxime repudiandae. Quo quo laborum.</p>;<p>Commodi a minima. Nam occaecati et. Suscipit ea ipsam.</p>;2025-01-29;2025-02-08;5;status_4;quibusdam;et;;57.0;2025-01-29 11:08:30 UTC;2025-01-29 11:08:31 UTC;https://nightly.decidim.org/processes/premium-horizon/f/1/results/26;1;"";NIGHT-RESU-2025-01-26;0;5;;;;quas;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;"";;;;25;Et nemo.;Rerum dolor.;Est explicabo.;<p>Quo reiciendis qui. Eum in inventore. Repellat et ipsa.</p>;<p>Consequatur eos explicabo. Aut sint quo. Non veritatis labore.</p>;<p>Est ipsam aut. Praesentium enim ipsum. Ad repudiandae similique.</p>;2025-01-29;2025-02-08;2;status_1;labore;corrupti;;3.0;2025-01-29 11:08:31 UTC;2025-01-29 11:08:31 UTC;https://nightly.decidim.org/processes/premium-horizon/f/1/results/27;1;"";NIGHT-RESU-2025-01-27;0;2;;;;cupiditate;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28;"";;;;25;Perferendis sit.;Ipsam autem.;Ut quod.;<p>Dolore molestiae quaerat. Voluptate optio molestiae. Voluptas maxime beatae.</p>;<p>Impedit est recusandae. Fugiat ullam illo. Cupiditate reiciendis blanditiis.</p>;<p>Incidunt qui debitis. Tempora molestiae dolorem. Repellendus voluptatum fugiat.</p>;2025-01-29;2025-02-08;1;status_0;est;est;;43.0;2025-01-29 11:08:31 UTC;2025-01-29 11:08:31 UTC;https://nightly.decidim.org/processes/premium-horizon/f/1/results/28;1;"";NIGHT-RESU-2025-01-28;0;2;;;;explicabo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29;35;;;;;Cum magni.;Libero possimus.;Nulla et.;<p>Quis sed molestiae. Aut totam autem. Impedit aut sed.</p>;<p>Nulla iure ducimus. Veritatis explicabo unde. Aut iure quae.</p>;<p>Dicta fugiat ab. Fuga est molestiae. Sunt reprehenderit hic.</p>;;;;;"";"";"";17.0;2025-01-29 11:08:31 UTC;2025-01-29 11:08:31 UTC;https://nightly.decidim.org/processes/premium-horizon/f/1/results/29;1;"";NIGHT-RESU-2025-01-29;3;0;2496 Jordan Fall 59718-7906 New Buck;-6.624101464394315;-4.74184370115475;;;;;;;;;;;;;;Odit omnis quo inventore consequatur.;Odit omnis quo inventore consequatur.;Odit omnis quo inventore consequatur.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30;"";;;;29;Similique dicta.;Natus qui.;Sed est.;<p>Voluptatibus minus aperiam. Ipsam quia non. Laborum ab repudiandae.</p>;<p>Nihil et esse. Quo ex similique. At itaque omnis.</p>;<p>Sed placeat dolores. Eos molestiae non. Itaque deleniti facere.</p>;2025-01-29;2025-02-08;3;status_2;deserunt;sit;;17.0;2025-01-29 11:08:31 UTC;2025-01-29 11:08:32 UTC;https://nightly.decidim.org/processes/premium-horizon/f/1/results/30;1;"";NIGHT-RESU-2025-01-30;0;1;;;;inventore;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31;"";;;;29;Ut doloribus.;Quaerat qui.;Ea officia.;<p>Autem asperiores quia. In aut cumque. Et excepturi dolores.</p>;<p>Unde voluptatem aliquid. Mollitia quaerat id. Odit molestiae et.</p>;<p>Tempore voluptatibus cupiditate. Corporis non qui. Omnis repellat sit.</p>;2025-01-29;2025-02-08;3;status_2;deserunt;sit;;43.0;2025-01-29 11:08:32 UTC;2025-01-29 11:08:33 UTC;https://nightly.decidim.org/processes/premium-horizon/f/1/results/31;1;"";NIGHT-RESU-2025-01-31;0;7;;;;inventore;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;"";;;;29;Non dolores.;Molestiae et.;Quibusdam id.;<p>Aut dolores pariatur. Dolorem nulla necessitatibus. Explicabo unde molestiae.</p>;<p>At est iste. Vero earum et. Laudantium quis dolorem.</p>;<p>Rem tenetur non. Et non rerum. In sit voluptates.</p>;2025-01-29;2025-02-08;1;status_0;est;est;;61.0;2025-01-29 11:08:33 UTC;2025-01-29 11:08:35 UTC;https://nightly.decidim.org/processes/premium-horizon/f/1/results/32;1;"";NIGHT-RESU-2025-01-32;0;11;;;;explicabo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
33;33;;;;;Omnis neque.;Nemo et.;Vel accusamus.;<p>Molestiae velit repellendus. Architecto ad facere. Minima blanditiis tempora.</p>;<p>Autem et aut. Veniam esse at. Minima et quidem.</p>;<p>Distinctio et quis. Sed et vel. Laborum et molestias.</p>;;;;;"";"";"";24.0;2025-01-29 11:08:35 UTC;2025-01-29 11:08:35 UTC;https://nightly.decidim.org/processes/premium-horizon/f/1/results/33;1;"";NIGHT-RESU-2025-01-33;3;2;35190 Sonny Trace 80634-9405 North Leandroberg;-28.593121352457054;89.10466940969167;;;;;;;;;;;;;;;;;Voluptates ea nihil fugiat non.;Voluptates ea nihil fugiat non.;Voluptates ea nihil fugiat non.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
34;"";;;;33;Nam ipsa.;Maxime qui.;Quae nobis.;<p>Qui soluta incidunt. Id est vel. Excepturi quia modi.</p>;<p>Ut sequi et. Iste qui non. Quia dolores sunt.</p>;<p>Recusandae eaque possimus. Occaecati molestiae inventore. Aut quia facilis.</p>;2025-01-29;2025-02-08;3;status_2;deserunt;sit;;24.0;2025-01-29 11:08:35 UTC;2025-01-29 11:08:36 UTC;https://nightly.decidim.org/processes/premium-horizon/f/1/results/34;1;"";NIGHT-RESU-2025-01-34;0;8;;;;inventore;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35;"";;;;33;Quidem aut.;Ex architecto.;Soluta cum.;<p>Fuga nemo distinctio. Cum dolorem quia. Laboriosam facilis id.</p>;<p>Repudiandae sunt consectetur. Ab officiis ut. Omnis in nostrum.</p>;<p>Et et ut. Neque qui repellendus. Et eum minus.</p>;2025-01-29;2025-02-08;5;status_4;quibusdam;et;;100.0;2025-01-29 11:08:36 UTC;2025-01-29 11:08:36 UTC;https://nightly.decidim.org/processes/premium-horizon/f/1/results/35;1;"";NIGHT-RESU-2025-01-35;0;2;;;;quas;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
36;"";;;;33;Accusamus quia.;Saepe omnis.;Qui aliquid.;<p>Nostrum qui tempora. Ut sed eius. Et ea doloremque.</p>;<p>Tempora suscipit ut. Animi beatae dolores. Quis aspernatur amet.</p>;<p>Veritatis doloribus impedit. Hic laudantium et. Inventore omnis id.</p>;2025-01-29;2025-02-08;3;status_2;deserunt;sit;;1.0;2025-01-29 11:08:36 UTC;2025-01-29 11:08:36 UTC;https://nightly.decidim.org/processes/premium-horizon/f/1/results/36;1;"";NIGHT-RESU-2025-01-36;0;1;;;;inventore;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
